0.45,0.61,2.62e-05
0.45,0.62,2.72e-05
0.45,0.63,2.82e-05
0.45,0.64,2.92e-05
0.45,0.65,3.02e-05
0.45,0.66,3.12e-05
0.45,0.67,3.22e-05
0.45,0.68,3.31e-05
0.45,0.69,3.4e-05
0.45,0.7,3.49e-05
0.45,0.71,3.58e-05
0.45,0.72,3.67e-05
0.45,0.73,3.75e-05
0.45,0.74,3.84e-05
0.45,0.75,3.92e-05
0.45,0.76,4e-05
0.45,0.77,4.07e-05
0.45,0.78,4.15e-05
0.45,0.79,4.22e-05
0.45,0.8,4.29e-05
0.55,0.0,1.9e-11
0.55,0.01,2.62e-11
0.55,0.02,3.66e-11
0.55,0.03,5.18e-11
0.55,0.04,7.38e-11
0.55,0.05,1.06e-10
0.55,0.06,1.52e-10
0.55,0.07,2.2e-10
0.55,0.08,3.17e-10
0.55,0.09,4.59e-10
0.55,0.1,6.65e-10
0.55,0.11,9.64e-10
0.55,0.12,1.4e-09
0.55,0.13,2.02e-09
0.55,0.14,2.94e-09
0.55,0.15,4.25e-09
0.55,0.16,6.16e-09
0.55,0.17,8.93e-09
0.55,0.18,1.29e-08
0.55,0.19,1.87e-08
0.55,0.2,2.7e-08
0.55,0.21,3.9e-08
0.55,0.22,5.62e-08
0.55,0.23,8.06e-08
0.55,0.24,1.15e-07
0.55,0.25,1.63e-07
